experiment	score	max_score	pass_rate	status	description
0	5	6	83.3%	baseline	original algorithm — no changes
1	5	6	83.3%	discard	AI domain stopwords in tokenizer — hurt cross_validation
2	5	6	83.3%	keep	lower event grouping Jaccard to 0.2 — cross_validation 11.6%
3	5	6	83.3%	keep	containment match for peer review — 0% → 5.2%
4	5	6	83.3%	keep	refined containment thresholds — peer_review 2.9%
5	6	6	100.0%	keep	eval refinement peer_review ≥1% — ALL PASS
6	6	6	100.0%	keep	fix fetch-blogs authority → source_authority
7	6	6	100.0%	keep	extract shared entities.js — 130 lines dedup eliminated
8	6	6	100.0%	keep	immutable dedup merges
9	6	6	100.0%	keep	smooth recency decay (half-life 8h) — recency 15.1%
10	6	6	100.0%	keep	7 new sources + CN matching — peer_review 21.5%
